predictor,fpr_budget,threshold,detection_rate,realized_far,median_anticipation,iqr_lo,iqr_hi,n_detected,n_pos
sgrt_D,0.01,-4.496953167754919,0.26515151515151514,0.038461538461538464,2.0,1.0,8.5,35,132
sgrt_D,0.05,-5.924359782462355,0.4015151515151515,0.08974358974358974,3.0,1.0,12.0,53,132
sgrt_D,0.1,-7.70741681909157,0.5151515151515151,0.1282051282051282,4.0,2.0,14.25,68,132
sgrt_consumption,0.01,2.9958690068688503,0.14393939393939395,0.0,5.0,2.5,37.5,19,132
sgrt_consumption,0.05,2.655176666846171,0.26515151515151514,0.05128205128205128,10.0,4.0,47.5,35,132
sgrt_consumption,0.1,2.266904680220963,0.4015151515151515,0.19230769230769232,24.0,9.0,74.0,53,132
sgrt_tau_inv,0.01,0.11269243881485261,0.21212121212121213,0.01282051282051282,3.0,2.0,4.25,28,132
sgrt_tau_inv,0.05,0.0822702044925673,0.3787878787878788,0.05128205128205128,7.0,4.0,11.0,50,132
sgrt_tau_inv,0.1,0.06876922018912142,0.5075757575757576,0.10256410256410256,10.0,6.0,25.5,67,132
sgrt_fused,0.01,0.9187806660724841,0.24242424242424243,0.01282051282051282,4.0,2.0,6.25,32,132
sgrt_fused,0.05,0.7089841695028918,0.4015151515151515,0.0641025641025641,8.0,4.0,12.0,53,132
sgrt_fused,0.1,0.5506737749901692,0.49242424242424243,0.08974358974358974,10.0,6.0,26.0,65,132
margin_hat,0.01,-0.015344350028204822,0.26515151515151514,0.038461538461538464,2.0,1.0,6.5,35,132
margin_hat,0.05,-0.018767093456352125,0.32575757575757575,0.07692307692307693,3.0,1.0,12.5,43,132
margin_hat,0.1,-0.027349486170193418,0.5378787878787878,0.14102564102564102,4.0,2.0,14.5,71,132
euclid_D,0.01,-0.0035634485109795294,0.2196969696969697,0.01282051282051282,2.0,1.0,5.0,29,132
euclid_D,0.05,-0.004321583934689607,0.2727272727272727,0.0641025641025641,2.0,1.0,11.5,36,132
euclid_D,0.1,-0.0071406090230119335,0.5454545454545454,0.15384615384615385,4.5,2.0,14.0,72,132
qber,0.01,0.10864039999999997,0.03787878787878788,0.0,31.0,5.0,99.0,5,132
qber,0.05,0.10361733333333331,0.06818181818181818,0.01282051282051282,19.0,8.0,35.0,9,132
qber,0.1,0.09204666666666668,0.09090909090909091,0.08974358974358974,40.5,25.0,74.5,12,132
qber_slope,0.01,0.0014964060369048295,0.25757575757575757,0.038461538461538464,9.5,4.0,38.0,34,132
qber_slope,0.05,0.0012914729803015338,0.32575757575757575,0.07692307692307693,12.0,5.0,50.5,43,132
qber_slope,0.1,0.0010485321287455145,0.5075757575757576,0.23076923076923078,23.0,9.5,71.0,67,132
qber_ewma,0.01,0.10715664916145985,0.030303030303030304,0.0,60.5,19.75,119.0,4,132
qber_ewma,0.05,0.10265977934554177,0.05303030303030303,0.01282051282051282,18.0,9.0,65.5,7,132
qber_ewma,0.1,0.09106595834400753,0.09090909090909091,0.08974358974358974,36.0,18.75,67.5,12,132
cusum,0.01,3696.505551004564,0.0,0.038461538461538464,,,,0,132
cusum,0.05,2401.823803949522,0.007575757575757576,0.1282051282051282,40.0,40.0,40.0,1,132
cusum,0.1,2162.364159179222,0.015151515151515152,0.15384615384615385,37.5,24.75,50.25,2,132
page_hinkley,0.01,3.456875103885848,0.007575757575757576,0.01282051282051282,161.0,161.0,161.0,1,132
page_hinkley,0.05,2.770729285774099,0.015151515151515152,0.0641025641025641,95.5,49.75,141.25,2,132
page_hinkley,0.1,2.220419753931091,0.03787878787878788,0.1282051282051282,42.0,33.0,57.0,5,132
roll_var,0.01,0.00015852996117750887,0.25757575757575757,0.05128205128205128,10.0,4.25,44.75,34,132
roll_var,0.05,0.0001343020981767195,0.3409090909090909,0.05128205128205128,18.0,7.0,55.0,45,132
roll_var,0.1,9.902165417440163e-05,0.4621212121212121,0.15384615384615385,24.0,9.0,67.0,61,132
lag1_ac,0.01,0.9913859566984844,0.21212121212121213,0.02564102564102564,26.5,7.0,65.25,28,132
lag1_ac,0.05,0.9897463946845483,0.22727272727272727,0.038461538461538464,36.5,9.25,68.5,30,132
lag1_ac,0.1,0.9842823661727788,0.4015151515151515,0.14102564102564102,35.0,10.0,70.0,53,132
